conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.89972E+18,Fri Mar 14 07:18:12 +0000 2025,0,@iwannabeyovrz @Jateng_Twit Aku kabupaten juga tp demi shell akan kuperjuangkan. Baca di review google mapsnya malah ada orang Tulungagung yg belain beli ke shell Blitar,1.90045E+18,,iwannabeyovrz,in,,0,0,0,https://x.com/antibacterii/status/1900446347184206186,1.54053E+18,antibacterii
1.8998E+18,Wed Mar 12 23:10:18 +0000 2025,1,@txtdrimedia Sayang banget di kabupaten ga ada shell. Kalo ada pasti aku udah pindah. Sementara terpaksa tetep Pertamina sedih banget harus kasih bahan bakar jelek buat motor kesayangan aku.,1.89996E+18,,txtdrimedia,in,"Semarang Selatan, Indonesia",0,0,0,https://x.com/jakamirandaa/status/1899961175200457099,7.83563E+17,jakamirandaa
1.90116E+18,Sun Mar 16 06:44:26 +0000 2025,0,Tapi ya emang kerasa banget bedanya ngisi bensin pake sh3ll vs p3rtamina Sbg pelanggan p3rtama dri dulu dan biasa isi pertamax skrg switch ke shell tuh wOoaH motor gue alus bgtt,1.90116E+18,,kaiiyeopta,in,,0,0,0,https://x.com/kaiiyeopta/status/1901162626081779921,2918263591,kaiiyeopta
1.90122E+18,Sun Mar 16 11:30:15 +0000 2025,0,@mag1cally Ujung Indonesia kak,1.90123E+18,,mag1cally,in,Indonesia,0,0,0,https://x.com/HyperShellDark/status/1901234551911055763,1.32859E+18,HyperShellDark
1.90078E+18,Tue Mar 18 07:17:55 +0000 2025,1,@Teftsl @twitlisten @fmtoday Kau mengarut apa bodoh. Sebelum adanya Petronas SHELL dah lama bertapak di Sarawak,1.9019E+18,,Teftsl,in,Republic of North Borneo,0,0,0,https://x.com/thelast_demigod/status/1901895828454941062,1.25925E+18,thelast_demigod
1.89586E+18,Sat Mar 01 15:40:16 +0000 2025,3,Setelah pemain sepak bola Belanda dinaturalisasi sepertinya Royal Dutch Shell akan menyusul dinaturalisasi oleh rakyat Indonesia. https://t.co/9xxAyfOjhI,1.89586E+18,,,in,"DKI Jakarta, Indonesia",0,0,0,https://x.com/HistoriDunia2/status/1895861652513570864,1.15175E+18,HistoriDunia2
1.89643E+18,Mon Mar 03 05:07:00 +0000 2025,1,Awal Maret Tahun 2025 Sejumlah badan usaha penyedia Bahan Bakar Minyak (BBM) seperti Shell Indonesia BP-AKR hingga PT Vivo Energy Indonesia telah menyesuaikan harga untuk beberapa produk BBMnya. Hanya PT Pertamina (Persero) yang tidak mengalami perubahan. #hargabbm https://t.co/51NOks0XTO,1.89643E+18,https://pbs.twimg.com/media/GlFtdnyakAAYHjV.jpg,,in,"Jakarta, Indonesia",0,0,0,https://x.com/erdioo/status/1896427063151665154,289373425,erdioo
1.90161E+18,Mon Mar 17 12:37:28 +0000 2025,836,super lucu moqeel dan perintilannya https://t.co/MJydeYJgG0,1.90161E+18,https://pbs.twimg.com/ext_tw_video_thumb/1901613828879826944/pu/img/8q_4khxMkb3h7Ekl.jpg,,in,gotham city,2,3,112,https://x.com/spideryyc/status/1901613856688083347,1.43543E+18,spideryyc
1.90179E+18,Tue Mar 18 00:13:49 +0000 2025,12,Comflirt #KyungKi filo au prompt https://t.co/oKXvsluks8,1.90179E+18,https://pbs.twimg.com/media/GmSDDlVbsAATyLp.jpg,,in,Snoopy,3,0,3,https://x.com/Winnryy/status/1901789098681192865,1.86349E+18,Winnryy
1.89937E+18,Tue Mar 11 07:59:54 +0000 2025,49,1️⃣Total spending min RM800 tapi nak dapat cashback RM100+ sebulan kena spend RM2.5K&gt; 2️⃣Isi minyak &amp; beli barang dekat shell online spend dining grocery bayar bill guna je CC ni. Btw RinggitPlus ada sign up gift RM5K weh!* Apply kat sini https://t.co/XOBGbQLCBW https://t.co/9LVrR4LArv,1.89937E+18,https://pbs.twimg.com/media/GlvqpwfbYAEJZZJ.jpg,faliqfahmie,in,"Kuala Lumpur Federal Territory, Malaysia",0,1,33,https://x.com/faliqfahmie/status/1899369677396345198,39714993,faliqfahmie
1.90005E+18,Thu Mar 13 05:05:22 +0000 2025,3,duh dia tuh cakep bgt deh.. kayak rambut alis mata coklat terangnya hidung bibir sm dagu yg belah gt.. perfect bgt.. aduhhh gabisa gw https://t.co/vGc1ejEHuU,1.90005E+18,https://pbs.twimg.com/ext_tw_video_thumb/1900050511203577856/pu/img/beJQloDeyZI7BcX4.jpg,,in,gotham city,0,0,0,https://x.com/spideryyc/status/1900050530317328878,1.43543E+18,spideryyc
1.90084E+18,Sat Mar 15 09:03:57 +0000 2025,44,MNG！ TRN SHELL https://t.co/DZ3hFipkAI,1.90084E+18,https://pbs.twimg.com/media/GmEfqZqbcAQTlvN.jpg,,in,東京都のどこか,0,6,2,https://x.com/ntzg4/status/1900835347384455259,5641292,ntzg4
1.90151E+18,Mon Mar 17 05:51:11 +0000 2025,633,bersinar terus king and queen menyala kapal gua. #moqeel till i die https://t.co/sqfUUPc3Vc,1.90151E+18,https://pbs.twimg.com/ext_tw_video_thumb/1901511574650830848/pu/img/73mawF33DWa4mP6E.jpg,,in,gotham city,0,0,58,https://x.com/spideryyc/status/1901511614211465659,1.43543E+18,spideryyc
1.90067E+18,Fri Mar 14 22:08:50 +0000 2025,3,NEW TMNT TIKTOK https://t.co/iWTXPnQxSp,1.90067E+18,https://pbs.twimg.com/ext_tw_video_thumb/1900670466391764995/pu/img/OhGH_MOXJytlEpFU.jpg,,in,(TCEST AND NSFW DNI),0,1,0,https://x.com/ShellMikey/status/1900670482321485851,1.59545E+18,ShellMikey
1.90121E+18,Sun Mar 16 09:53:28 +0000 2025,23,yauda kak kalo misal uda vote dalam diam itu berarti target pasar orang yg ngingetin vote bukan kamu.,1.90121E+18,,,in,,0,0,4,https://x.com/matchachuuw/status/1901210196392952002,1.60027E+18,matchachuuw
1.90028E+18,Thu Mar 13 20:11:57 +0000 2025,15,Oyarzabal pen win from Zubimendi overlap + cross https://t.co/M27bAdJVtr,1.90028E+18,https://pbs.twimg.com/ext_tw_video_thumb/1900278662714515456/pu/img/Hc7cJSC0QtLKWYn1.jpg,,in,,0,1,1,https://x.com/juegodeposting/status/1900278680833892620,1.73047E+18,juegodeposting
1.90196E+18,Tue Mar 18 11:49:07 +0000 2025,706,egonya si r dikasih makan mulu gmn mau sembuh kocak kocak,1.90196E+18,,,in,gotham city,9,26,46,https://x.com/spideryyc/status/1901964079306268740,1.43543E+18,spideryyc
1.90152E+18,Mon Mar 17 06:44:00 +0000 2025,72,Shell memilih memelihara kucing sementara Pertamini memilih memelihara tikus https://t.co/a80p7oM9Co,1.90152E+18,https://pbs.twimg.com/ext_tw_video_thumb/1901524865582297088/pu/img/paGNERmZKZdR5SPo.jpg,,in,Seberang Rumah Pak Lurah,0,32,17,https://x.com/AlnilamOmar/status/1901524903876035070,1.64969E+18,AlnilamOmar
1.89873E+18,Sun Mar 09 13:48:05 +0000 2025,510,Ai Miyashita modeling sea shell bikini's!! https://t.co/EQ8rUviC0v,1.89873E+18,https://pbs.twimg.com/media/Glmm_cybcAAhy2D.jpg,,in,,1,1,38,https://x.com/striker97663/status/1898732526245650481,1.67962E+18,striker97663
1.8994E+18,Tue Mar 11 09:57:34 +0000 2025,5, .phonegingi . #dialtown https://t.co/tEt7OF0G9U,1.8994E+18,https://pbs.twimg.com/media/GlwFlZvWcAAG4cq.jpg,,in,,0,0,1,https://x.com/snail_shell64/status/1899399288750223392,1.64547E+18,snail_shell64
1.90072E+18,Sat Mar 15 01:14:16 +0000 2025,4,Di Shell tidak ada tikus karena ada kucing penjaganya https://t.co/E640nvCOF6,1.90072E+18,https://pbs.twimg.com/ext_tw_video_thumb/1900716866307584001/pu/img/0KHJeTpinTuuyuU9.jpg,,in,Manado-Jakarta-St. Petersburg,0,1,0,https://x.com/luckylucky0971/status/1900717149104292030,1.54853E+18,luckylucky0971
1.90175E+18,Mon Mar 17 21:50:04 +0000 2025,20,Iyo Sky Our Champion https://t.co/v6dNGKf1tE,1.90175E+18,https://pbs.twimg.com/ext_tw_video_thumb/1901752863476609024/pu/img/b5GI-U3zvsmvHta-.jpg,,in,,0,0,5,https://x.com/Shelleyjo8/status/1901752925417836619,1.00384E+18,Shelleyjo8
1.90193E+18,Tue Mar 18 09:52:39 +0000 2025,2,MAKLUMAN PENUTUPAN SEMENTARA STESEN MINYAK PETRONAS &amp; MCDONALD DI R&amp;R GENTING SEMPAH BAGI KERJA-KERJA PENYELENGGARAAN Tarikh: 19 Mac 2025 Masa: 8.30 am - 5.30 pm Alternatif: Stesen Minyak Shell KM 55 (Arah KL) &amp; BHP KM 21 (Arah Kuantan) https://t.co/JFeAeG9tyo,1.90193E+18,https://pbs.twimg.com/media/GmUHlk8aUAA_oCa.jpg,,in,GOMBAK-KARAK-KUANTAN-JABOR,0,0,1,https://x.com/LPTTrafik/status/1901934769333776818,389465925,LPTTrafik
1.90207E+18,Tue Mar 18 19:00:01 +0000 2025,4,Motoko Kusanagi (Ghost in the Shell) https://t.co/CjUqHr9oQD,1.90207E+18,https://pbs.twimg.com/media/GmBe3ltXoAAs1TR.jpg,,in,,0,2,0,https://x.com/theanimepost_/status/1902072515780080114,1.86909E+18,theanimepost_
1.90083E+18,Sat Mar 15 08:38:30 +0000 2025,0,Motuba setelah pindah dari Shell Super ke Shell Power: https://t.co/ZR3vjj8JpM,1.90083E+18,https://pbs.twimg.com/tweet_video_thumb/GmEZ0r3bcAERQtn.jpg,,in,"Bekasi Selatan, Indonesia",0,0,0,https://x.com/dnlwkrt/status/1900828943436968087,1.44855E+18,dnlwkrt
1.9E+18,Thu Mar 13 01:46:01 +0000 2025,1,ansiosa pelas da Shell,1.9E+18,,,in,Leclerc | Thompson | Ettore,0,0,0,https://x.com/dearscker/status/1900000364323058081,913173816,dearscker
1.90153E+18,Mon Mar 17 07:02:52 +0000 2025,10,#SahabatBahari Senin 17 Maret 2025 Inspektur Mutu Badan Mutu KKP NTB melaksanakan Surveilans HACCP secara on site di PT. Live Shell Indonesia Lombok Barat NTB. #BPPMHKP #PanganBiru #2025KKPRiseTogether #EkonomiBiruUntukIndonesiaEmas #SaktiWahyuTrenggono #KKPGOID https://t.co/rKTTtIe5JP,1.90153E+18,https://pbs.twimg.com/media/GmOXIppboAArK3x.jpg,,in,"Mataram, Indonesia",0,0,2,https://x.com/bkipmmataram/status/1901529651719135379,7.58558E+17,bkipmmataram
1.90202E+18,Tue Mar 18 15:27:46 +0000 2025,0,jirr gw udh ke bbrp cabang shell abis semuaaa,1.90202E+18,,,in,,0,0,0,https://x.com/aaisyyst/status/1902019101708685697,1.63874E+18,aaisyyst
1.90155E+18,Mon Mar 17 08:12:57 +0000 2025,1235,Boda guy: Olaagawa Munyankole: Nteeka aha Shell ya Total https://t.co/9nf3hooWos,1.90155E+18,https://pbs.twimg.com/media/GmOnLQwWwAAYVYW.jpg,,in,"Kampala, Uganda",1,83,73,https://x.com/KomugishaPeace/status/1901547288847122597,1.37585E+18,KomugishaPeace
1.90013E+18,Thu Mar 13 10:22:45 +0000 2025,1,SAATNYA PACU ADRENALIN KAMU DI YAMAHA ENDURO CHALLENGE 2025! Buat kamu para pecinta off-road dan pengguna Yamaha WR155R siapkan diri kalian karena event SHELL BLU CRU Yamaha Enduro Challenge bakal hadir kembali! https://t.co/bIZSnTdvAh,1.90013E+18,https://pbs.twimg.com/ext_tw_video_thumb/1900130333527359488/pu/img/U1VOK883PhMGH5Lb.jpg,,in,Indonesia,0,1,0,https://x.com/YamahaRacing_Id/status/1900130401345298584,506942650,YamahaRacing_Id
1.90188E+18,Tue Mar 18 06:00:13 +0000 2025,6,#SahabatBahari Selasa 18 Maret 2025 Inspektur Mutu Badan Mutu KKP NTB laksanakan Surveilans HACCP Secara On Site Hari Ke-2 di PT. Live Shell Indonesia Lombok Barat NTB. #BPPMHKP #PanganBiru #2025KKPRiseTogether #EkonomiBiruUntukIndonesiaEmas #SaktiWahyuTrenggono #KKPGOID https://t.co/eU2taJzAVO,1.90188E+18,https://pbs.twimg.com/media/GmTSXn5agAAasDq.jpg,,in,"Mataram, Indonesia",0,0,1,https://x.com/bkipmmataram/status/1901876273380462655,7.58558E+17,bkipmmataram
1.90214E+18,Tue Mar 18 23:41:26 +0000 2025,0,Ngeri bener antrian Shell Deltamas pagi-pagi https://t.co/R367ftV0sW,1.90214E+18,https://pbs.twimg.com/media/GmXFR3La8AIEpH3.jpg,,in,"Bekasi, Jawa Barat",0,3,0,https://x.com/ttodareunna/status/1902143337664303286,1.10786E+18,ttodareunna
1.90165E+18,Mon Mar 17 15:02:02 +0000 2025,2,PERTAMINA BANGSATTTT . GARA2 SKANDAL KORUPSI LU BIKIN W NGANTRE ISI BENSIN SHELL. SEBELUM E GAPERNAH SAMPE ANTRE SEGININYA AJG. NGULAR SAMPE DEPAN. 10 MENIT LEBIH AJG CUMAN ISI BENSIN DOANG. (iya w telat soale w jarang naik ni motor),1.90165E+18,,,in,Unknown,0,0,0,https://x.com/CrescentGlaive/status/1901650238064275767,1.48853E+18,CrescentGlaive
1.89987E+18,Wed Mar 12 17:19:41 +0000 2025,7,jauh jauh dari nangor ke shell pelajar pejuang ternyata gada stock nya :),1.89987E+18,,,in,"Kota Bandung, Jawa Barat",0,2,0,https://x.com/akuinimeul/status/1899872940587684054,1.28088E+18,akuinimeul
1.90019E+18,Thu Mar 13 14:23:50 +0000 2025,2,Ngerik sekarang ngisi di Shell Cikokol ada mandor'e cuy... https://t.co/lDcmhDWKda,1.90019E+18,https://pbs.twimg.com/media/Gl7Vs9tboAA6B2D.jpg,,in,Indonesia,0,1,0,https://x.com/MYusril_IhzaM/status/1900191073038901424,411280866,MYusril_IhzaM
1.9013E+18,Sun Mar 16 15:42:20 +0000 2025,7,Sore tadi panjang jasa antrean di SPBU Shell Suvarna Sutera Sindang Jaya Kabupaten Tangerang https://t.co/MXRl9eUjnz,1.9013E+18,https://pbs.twimg.com/ext_tw_video_thumb/1901297944244219904/pu/img/RFxrtPbwLB-_NLos.jpg,,in,"Tangerang, Banten",1,2,2,https://x.com/AboutTNG/status/1901297991954334074,2818687488,AboutTNG
1.89944E+18,Tue Mar 11 12:52:42 +0000 2025,1,Kami rindu pom shell yang dulu https://t.co/QruQ2viKhl,1.89944E+18,https://pbs.twimg.com/media/Glwtqf-aQAAx_Et.jpg,,in,"Greater Jakarta, Indonesia",0,1,1,https://x.com/Rafiest/status/1899443365197815961,22477258,Rafiest
1.90195E+18,Tue Mar 18 11:05:59 +0000 2025,1,ada yg abis ngisi bensin ke shell bojongsoang? bensinnya ready tidakk yaa?:( males bolak balik soalnya:((,1.90195E+18,,,in,kadang bandung kadang jogja,0,5,0,https://x.com/sakuragenovevaa/status/1901953220685283743,1.23667E+18,sakuragenovevaa
1.89895E+18,Mon Mar 10 04:19:58 +0000 2025,40,Agak kaget ketika melihat staff Shell mengelap dengan lembut bensin yang tercecer di tangki motor. Mbaknya jg bilang Terima kasih semoga sehat selalu setelah covid melanda kalimat tersebut sangat kuat sekali. Pagi ini kali pertama saya menggunakan Shell. Puja kerang ajaib! https://t.co/qBODngWbk3,1.89895E+18,https://pbs.twimg.com/media/GlpuuW4awAA7zU2.jpg,,in,Amphoe Mueang Khon Kaen,0,3,0,https://x.com/milkpapii/status/1898951943109947653,1.6989E+18,milkpapii
1.8994E+18,Tue Mar 11 10:09:42 +0000 2025,2,Mudik Tenang Cashback Jalan! Nikmati perjalanan mudik makin nyaman isi BBM di SPBU Shell pakai Mandiri Kartu Kredit dan dapetin cashback Rp20 ribu*. Berlaku dari 1 Maret 2025 - 28 Februari 2026. Jangan sampai ketinggalan dapetin cashbacknya! Cek informasi selengkapnya https://t.co/va52pakdvI,1.8994E+18,https://pbs.twimg.com/media/GlwIW8wawAISwD7.jpg,,in,Jakarta,0,0,0,https://x.com/mandiricard/status/1899402342333882625,115848008,mandiricard
1.89937E+18,Tue Mar 11 07:42:44 +0000 2025,3,Bos Shell Chevron Dukung Kebijakan Trump Meski Harga Minyak Drop https://t.co/oAeFAUokRZ,1.89937E+18,,,in,Jakarta,0,0,1,https://x.com/BloombergTZ/status/1899365357078380702,1.58297E+18,BloombergTZ
1.89902E+18,Mon Mar 10 08:59:37 +0000 2025,2,Gara gara pertamina shell yang tadi nya sepi jadi rame!!! AKU SUKA SHELL KARENA SEPII,1.89902E+18,,,in,,0,1,0,https://x.com/jsthwyur/status/1899022319437390086,1.2055E+18,jsthwyur
1.90049E+18,Fri Mar 14 09:57:32 +0000 2025,0,POV isi bensin di shell now Dulu masuk langsung isi https://t.co/sGAjg3eZ9x,1.90049E+18,https://pbs.twimg.com/media/Gl_iWEZaoAAnCUg.jpg,,in,Jombang - Surabaya,0,2,0,https://x.com/Tomyzone/status/1900486445137318161,67257199,Tomyzone
1.90122E+18,Sun Mar 16 10:49:46 +0000 2025,0,di Tasikmalaya gada Shell jadi pake Mobil Indostation aja soalna Amakuchi ini alergi Pertamina https://t.co/HQ7GOUylhs,1.90122E+18,https://pbs.twimg.com/media/GmKBeZQaQAAzWJY.jpg,,in,,0,4,0,https://x.com/kimitofutari__/status/1901224366412607772,1.00547E+18,kimitofutari__
1.90201E+18,Tue Mar 18 15:09:31 +0000 2025,0,Faktor utama tidak adanya public trust terhadap BUMN. Ada Pengaruh masyarakat beralih ke shell nggak? Soalnya pertamina baru-baru ini anjlok 50 l% Btw gimana portofolio kalian kalian hari ini? https://t.co/dj3ygIDt6D,1.90201E+18,https://pbs.twimg.com/media/GmVQHiKbsAAKWFX.jpg,,in,Indonesia ,0,0,0,https://x.com/daeng_embang/status/1902014510615150592,1.45077E+18,daeng_embang
1.90146E+18,Mon Mar 17 02:41:09 +0000 2025,2,setelah berkeliling seluruh pom bensin Shell sa-bandung-eun tidak ada yg ready akhirnya aku beralih ke AKR,1.90146E+18,,,in,"code area: D, AG, DK",0,0,0,https://x.com/ddormitoirre/status/1901463790790864999,1.47544E+18,ddormitoirre
1.90099E+18,Sat Mar 15 19:16:09 +0000 2025,4,Sekarang tiap ditanya kenapa ga mudik? Jawaban gue: Di jawa tengah ga ada shell males kasian mobilnya.,1.90099E+18,,,in,,0,1,0,https://x.com/apansa_kalengs/status/1900989412198224068,1.03703E+18,apansa_kalengs
1.89971E+18,Wed Mar 12 06:45:31 +0000 2025,5,Ternyata di Shell sini cuma melayani penjualan oli ga ada layanan ganti oli. Yadah beli online aja kalo gt https://t.co/cH5tjf7NPg,1.89971E+18,https://pbs.twimg.com/media/Gl0jNkBaUAAf8qL.jpg,,in,,1,1,0,https://x.com/antibacterii/status/1899713345802158446,1.54053E+18,antibacterii
1.89979E+18,Wed Mar 12 11:33:25 +0000 2025,8,percakapan tdi pagi pertama kali isi shell selamat pagi mau isi shell yang mana kak? aku dengan kesadaran penuh : gatau kak hehe yang best seller mana? https://t.co/SG2Yu9NqJq,1.89979E+18,https://pbs.twimg.com/media/Gl1ktOWa8AAHM43.jpg,,in,,0,6,0,https://x.com/1shittalkerr/status/1899785799090192546,1.5704E+18,1shittalkerr
1.89986E+18,Wed Mar 12 16:11:01 +0000 2025,2,yang isiin shell dia untung lucu https://t.co/UrxbZgLKyP,1.89986E+18,https://pbs.twimg.com/media/Gl2kpPUbsAA8FHY.jpg,,in,,0,1,0,https://x.com/Rahmam0N/status/1899855659166007706,1.15613E+18,Rahmam0N
1.90201E+18,Tue Mar 18 14:56:24 +0000 2025,0,Kemarin pertamina jeblok yg disidak shell lah ini BEI jeblok kok gasidak ke BE negara lain?,1.90201E+18,,,in,0606 - 1919 | 298,0,0,0,https://x.com/ac_yoas/status/1902011207843987552,89632859,ac_yoas
1.90202E+18,Tue Mar 18 15:44:51 +0000 2025,0,kenapa shell abis terus,1.90202E+18,,,in,,0,1,0,https://x.com/ariqcruise/status/1902023400446742640,3289317312,ariqcruise
1.90145E+18,Mon Mar 17 01:45:34 +0000 2025,60,si adek pas awal² badannya GEDE bangett ampe bajunya keliatan ngepress (liat aja lengannya) apalagi yg pas di asrama bnrn kek preman pas gondrong. tp skrg dia kurusan ga sih? badannya ga segede dulu https://t.co/9DkhbqUhve,1.90145E+18,https://pbs.twimg.com/media/GmNOhAfbgAAsm7W.jpg,,in,gotham city,0,7,0,https://x.com/spideryyc/status/1901449799683162272,1.43543E+18,spideryyc
1.90203E+18,Tue Mar 18 16:10:49 +0000 2025,44,siapa ducal niiii asal nama macam nama petronas atau shell,1.90203E+18,,,in,The Emerald City of Oz,0,3,1,https://x.com/danishyeoh/status/1902029938091508071,1.70882E+18,danishyeoh
1.90014E+18,Thu Mar 13 11:07:46 +0000 2025,5,Dari Tangerang ke Grogol sdh lewatin 4 SPBU @pertamina tapi gak mampir dan sdh degdeg'an bensin sdh hampir habis. Untung ada @Shell meskipun agak mahal tapi Gak mau ditipu sm Plat merah. https://t.co/bVag9QGfeY,1.90014E+18,https://pbs.twimg.com/media/Gl6o0s7aIAANMbY.jpg,,in,Tangerang Kota - DKI Jakarta,0,1,0,https://x.com/IamWuBi/status/1900141730412060846,1.81539E+18,IamWuBi
1.90205E+18,Tue Mar 18 17:51:05 +0000 2025,45,@daegalangel bener njir magz kadang ngomong kek kumur² cpt bgt,1.90206E+18,,daegalangel,in,gotham city,0,1,0,https://x.com/spideryyc/status/1902055168604303468,1.43543E+18,spideryyc
1.90204E+18,Tue Mar 18 16:37:58 +0000 2025,20,SHELL DMNA MANA KOSONG ANJEENG TINGGAL DI GATSU https://t.co/WI6AgtjOKt,1.90204E+18,https://pbs.twimg.com/media/GmVkWlzaMAEPMgo.jpg,,in,,0,3,0,https://x.com/cimolnya_qaqa/status/1902036769639637174,1.27534E+18,cimolnya_qaqa
1.89903E+18,Mon Mar 10 11:32:53 +0000 2025,888,@kompascom Dear @Shell tolong bikin SPBU sebanyak2nya agar kami punya opsi selain pertemex,1.89906E+18,,kompascom,in,,1,23,81,https://x.com/Benidicvsy/status/1899060887555858792,1.79751E+18,Benidicvsy
